alias,disposition,bundle,manifest_section,approval,source_line
Sigrun Dahl,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
Sabir Vollen,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
Nadia Verenz,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
Eryk Sorensen,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
Rook,RETIRE/MERGE/DEMOTE.,D,5. TECHNARCH / REX ECOSYSTEM,bundle D approved (Ruling 3),"Rook, Yara Kint, Pierre Morozov and generic duplicate analysts: RETIRE/MERGE/DEMOTE."
Yara Kint,RETIRE/MERGE/DEMOTE.,D,5. TECHNARCH / REX ECOSYSTEM,bundle D approved (Ruling 3),"Rook, Yara Kint, Pierre Morozov and generic duplicate analysts: RETIRE/MERGE/DEMOTE."
Pierre Morozov and generic duplicate analysts,RETIRE/MERGE/DEMOTE.,D,5. TECHNARCH / REX ECOSYSTEM,bundle D approved (Ruling 3),"Rook, Yara Kint, Pierre Morozov and generic duplicate analysts: RETIRE/MERGE/DEMOTE."
PureTone,RETIRE AS SEPARATE MAJOR FACTION.,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,bundle E approved (Ruling 3),earlier campaign/network/technology vocabulary in genealogy feeding anti-resonance/Choirless development.
Marcus Kell,RETIRE/MERGE unless unique scene survives.,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,bundle E approved (Ruling 3),"Marcus Kell, Priya Sen, Jonah Grieves and equivalent parallel-faction identities: RETIRE/MERGE unless unique scene survives."
Priya Sen,RETIRE/MERGE unless unique scene survives.,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,bundle E approved (Ruling 3),"Marcus Kell, Priya Sen, Jonah Grieves and equivalent parallel-faction identities: RETIRE/MERGE unless unique scene survives."
Jonah Grieves and equivalent parallel-faction identities,RETIRE/MERGE unless unique scene survives.,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,bundle E approved (Ruling 3),"Marcus Kell, Priya Sen, Jonah Grieves and equivalent parallel-faction identities: RETIRE/MERGE unless unique scene survives."
BlackHarbor,RETIRE AS CORE CHORUS / MERGE INTO MILITANT RHETORIC ECOSYSTEM.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),RETIRE AS CORE CHORUS / MERGE INTO MILITANT RHETORIC ECOSYSTEM.
Jenna Alvar,Naomi/local footage.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),Jenna Alvar → Naomi/local footage.
Carmine Goodwin,Naomi/local footage.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),Carmine Goodwin → Naomi/local footage.
Lina Harrow,rotating civilians.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),Lina Harrow → rotating civilians.
Wyatt LaGrange,local color only.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),Wyatt LaGrange → local color only.
Rachel Dupont / Marja Li,cameo witnesses.,F,7. MEDIA / PUBLIC VOICES,bundle F approved (Ruling 3),Rachel Dupont / Marja Li → cameo witnesses.
