cast_id,name,tier1_canon,bundle,manifest_section,status,category,range,function,relationships,guardrail,historical,migration_note,ending,approval
C01,Marcellus Virelli,VirelliAppearance.md; VirelliEBCI.md; VirelliID.md; VirelliRender.md,C,4. DOMINION / LUCIEN ECOSYSTEM,KEEP / PRIMARY DOMINION FACE.,,Veil shadow → Neon escalation → Loom collapse consequences.,"inherited authority, legitimacy, purity, containment becoming conviction.",,,Historical absorbed identities: Severin Virelli; portions of Arel Tovin.,,OPEN; old off-page B9 death NOT LOCKED.,bundle C approved (Ruling 3)
C02,Caldas Ren,,C,4. DOMINION / LUCIEN ECOSYSTEM,KEEP.,,,doctrine arriving at the door; surveillance → intimidation → lethal pursuit.,,,Historical absorbed material: Sabir Vollen/generic enforcers.,,OPEN; old storm death NOT LOCKED.,bundle C approved (Ruling 3)
C03,Marius Holt,,C,4. DOMINION / LUCIEN ECOSYSTEM,KEEP.,,,"archive conscience, redactions, coded leaks, institutional memory.",,,Historical absorbed material: compatible Alaric Dorne/Sigrun Dahl archive-conscience functions.,,OPEN.,bundle C approved (Ruling 3)
C04,Helena Kael,,C,4. DOMINION / LUCIEN ECOSYSTEM,KEEP / NARROW.,,,Lucien's aunt; family inheritance and Dominion conditioning.,,,,,OPEN; historical dying-message material not locked.,bundle C approved (Ruling 3)
C05,Janvier “Jan” Arnaud,,C,4. DOMINION / LUCIEN ECOSYSTEM,KEEP / NARROW RECURRING.,,lightly pre-B3 if useful; primary payoff Loom.,Baz's family; grief that does not center Lucien.,,,,,OPEN.,bundle C approved (Ruling 3)
D01,Director Han Wei,HanWeiAppearance.md; HanWeiBackstory.md; HanWeiEBCI.md; HanWeiID.md; HanWeiRender.md,D,5. TECHNARC / REX ECOSYSTEM,KEEP / PRIMARY TECHNARC FACE.,,,prediction/control/risk; treats uncertainty and human variance as engineering defects.,,,,,OPEN.,bundle D approved (Ruling 3)
D02,Rex Tan,RexAppearance.md; RexEBCI.md; RexID.md; RexRender.md,D,5. TECHNARC / REX ECOSYSTEM,protected core supporting/primary ensemble; migration outside scope except relationship references.,,,loyal engineer → model failure → moral fracture → humane builder.,,,,,,bundle D approved (Ruling 3)
D03,Dr. Shun Watanabe,,D,5. TECHNARC / REX ECOSYSTEM,RENAME PROPOSAL / KEEP NARROW.,,,Rex mentor; discrepancies; resistance/sabotage.,,,Historical name: Dr. Shun Wei.,,OPEN.,bundle D approved (Ruling 3)
D04,Dr. Kasumi Arendt,,D,5. TECHNARC / REX ECOSYSTEM,KEEP.,,,evidence of manufactured-meta instability/human cost.,,,,,OPEN.,bundle D approved (Ruling 3)
D05,Gianna Locke,,D,5. TECHNARC / REX ECOSYSTEM,KEEP.,,,security/protocol officer; surveillance/preventive detention → conscience/break with system.,,,,,OPEN.,bundle D approved (Ruling 3)
D06,Harlow,,D,5. TECHNARC / REX ECOSYSTEM,KEEP; Rook MERGE/RETIRE.,,,covert retrieval/augmentation instability; weaponization consequence.,,,Historical paired identity: Rook & Harlow.,,OPEN; old disappearance not locked.,bundle D approved (Ruling 3)
D07,Tamsin “Bluewire” Kho,,D,5. TECHNARC / REX ECOSYSTEM,DEMOTE / LIGHT PLACE TEXTURE unless Singapore relationship pass requires more.,,,technician-level institutional texture.,,,,,,bundle D approved (Ruling 3)
E01,Saeko Morita,SaekoAppearance.md; SaekoBackstory.md; SaekoEBCI.md; SaekoID.md; SaekoRender.md,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,KEEP.,,,ideological engineer of Choirless; serenity-coercion architect; turns silence/calm into care language and doctrinal stabilization.,,"not a populist demagogue; not synonymous with Choirless as a whole; not generic villain.",Historical September description inverted her role with Ito; corrected from Jan. 4 source + current Tier-1.,,OPEN.,bundle E approved (Ruling 3); role correction 2026-09-20
E02,Tessa Vane,,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,RENAME/REBUILD.,,,neighbor-on-neighbor radicalization; ordinary enforcement after exclusion becomes socially permitted.,,not Choirless lieutenant by default.,Historical slot: KELL ORGANIZER / Mara Kell.,,OPEN.,bundle E approved (Ruling 3)
E03,Ito Masayuki,ItoAppearance.md; ItoBackstory.md; ItoEBCI.md; ItoID.md; ItoRender.md,E,6. IDEOLOGICAL / ANTAGONIST-ADJACENT,KEEP / PUBLIC-FACING FEAR AMPLIFIER.,,proto-language/network B4–B5; first overt Choirless violence B6; spread B7; peak B8; Mending opposition B9.,public-facing populist antagonist; weaponizes fear and grievance; gives anti-resonance extremism permission; popularizes rather than designs doctrine.,,"not Choirless doctrinal engineer; not Virelli-style Order as Mercy; not Technarc planner.",Historical September description blurred/inverted his role with Saeko; corrected from Jan. 4 source + current Tier-1.,,OPEN.,bundle E approved (Ruling 3); role correction 2026-09-20
F01,Naomi Clairborne,,F,7. MEDIA / PUBLIC VOICES,KEEP / PRIMARY CHRONICLE FACE.,,B1–B9.,institutional verification → mistakes/distortion → correction → independent witness/archive.,,,,,survives as person/witness; Chronicle institution dies in Loom.,bundle F approved (Ruling 3)
F02,Zane Rowley,,F,7. MEDIA / PUBLIC VOICES,KEEP.,,Veil–collapse.,attention economy; aggregator → distortion merchant → audience capture.,,,,,late presence may be fragment/archive; platform power collapses.,bundle F approved (Ruling 3)
F03,Silas Moreau,,F,7. MEDIA / PUBLIC VOICES,KEEP.,,Neon–Loom.,ideological normalization/media argument.,,,,,OPEN.,bundle F approved (Ruling 3)
F04,Patrice Valois,,F,7. MEDIA / PUBLIC VOICES,KEEP NARROW.,,Veil/Neon.,civic/public-information professional; unraveling professionalism.,,,,,no Loom recurrence obligation.,bundle F approved (Ruling 3)
F05,Signalman East,,F,7. MEDIA / PUBLIC VOICES,KEEP HANDLE.,,Loom.,imperfect analog radio continuity after digital failure.,,,,,,bundle F approved (Ruling 3)
F06,Ribbon_9,,F,7. MEDIA / PUBLIC VOICES,KEEP HANDLES,Core MT chorus — KEEP HANDLES,,anxiety → witness → hope.,,do not reveal legal identities by default.,,,OPEN,bundle F approved (Ruling 3)
F07,GlassHarbor,,F,7. MEDIA / PUBLIC VOICES,KEEP HANDLES,Core MT chorus — KEEP HANDLES,,crowdsourced verification; must sometimes be wrong/corrected.,,do not reveal legal identities by default.,,,OPEN,bundle F approved (Ruling 3)
F08,NthDaySurvivor,,F,7. MEDIA / PUBLIC VOICES,KEEP HANDLES,Core MT chorus — KEEP HANDLES,,pattern hunger; must not always predict correctly.,,do not reveal legal identities by default.,,,OPEN,bundle F approved (Ruling 3)
F09,tinfoilmage,,F,7. MEDIA / PUBLIC VOICES,KEEP HANDLES,Core MT chorus — KEEP HANDLES,,humor/community pressure valve; not supernatural joke-prophet.,,do not reveal legal identities by default.,,,OPEN,bundle F approved (Ruling 3)
F10,BriteLine,,F,7. MEDIA / PUBLIC VOICES,KEEP FINITE.,,,safe-route mapper whose disappearance becomes community memory.,,,,,choose one clean uncertain ending; do not repeatedly resurrect traces.,bundle F approved (Ruling 3)
F11,ghost_frequency,,F,7. MEDIA / PUBLIC VOICES,DEMOTE / CHORUS COLOR.,,,"eerie texture, not reliable supernatural spoiler.",,,,,,bundle F approved (Ruling 3)
B01,Trip,TripAppearance.md; TripEBCI.md; TripID.md; TripRender.md,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP / PROTECT.,,saga-recurring as place logic permits.,Velvet Vein cultural host; gossip archivist; informal information switchboard; humor/social pressure valve.,,non-resonant; not Filament leadership.,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN; post-Mending cultural rebuilding direction protected.,bundle B approved (Ruling 3)
B02,Mme Rosette,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP.,,Veil–early Neon; later sparing returns.,"ordinary neighborhood “weather-vane,” not secret expert.",,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",no forced closure.,bundle B approved (Ruling 3)
B03,Ms. Leontine,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP / PROMOTE PLACE ANCHOR.,,Veil/Neon–Loom as refuge arc requires.,place → loss → hospitality without place.,"Trip, Mara, Corrine, Blue String Kids.",,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B04,Roland Baptiste,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP.,,Neon/Loom.,non-Filament community grounding / informal civic trust.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B05,Councilwoman Anaïs Baptiste,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP.,,Veil–Loom as civic institutions permit.,"transparency, accountable government, civic trust.",,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B06,Leila Broussard,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP; Camille RETIRE/MERGE.,,"Veil–Neon, later only if geography permits.",recurring medical-system face.,,,Historical merged identity: Nurse Camille Dupré.,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B07,Ramon Espina,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP / CONSOLIDATE.,,Veil–Neon/Loom as infrastructure survives.,physical transit/infrastructure improvisation.,,,Historical absorbed identities: Jeremiah Knox; Cole Maddox.,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B08,Shirin Petrov,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP / PROMOTE.,,Veil–Loom.,civilian empirical data/maps; public evidence.,,sometimes wrong/data-starved.,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle B approved (Ruling 3)
B09,Kesi Albright,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP / PROMOTE.,,Veil–post-Mending.,cultural visual long arc; “city paints back.”,,"art interprets/changes people, not literal magic.",,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",Mosaic of Hope direction retained as proposal.,bundle B approved (Ruling 3)
B10,Zoe Carignan,,B,3. NEW ORLEANS CIVIC / CULTURAL,DEMOTE.,,,poet/cultural collaborator around Kesi.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",no required saga closure.,bundle B approved (Ruling 3)
B11,Officer Daniel Rieux,,B,3. NEW ORLEANS CIVIC / CULTURAL,KEEP FINITE.,,Veil–B4/B5 substantial; exit legible by B6.,ordinary public servant witnessing systems fail.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",exact exit OPEN.,bundle B approved (Ruling 3)
G01,Reykjavík University Mentor,,G,8. PLACE ANCHORS,KEEP SLOT / UNNAMED.,,,Elisabet pre-Concord professional/research relationship.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G02,Reykjavík old harbor fisherman,,G,8. PLACE ANCHORS,KEEP UNNAMED / LOCAL.,,,ordinary continuity/weather/anomaly observation.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G03,Hallgrímskirkja priest,,G,8. PLACE ANCHORS,DEMOTE TO SCENE ROLE.,,,,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G04,Elisabet grandmother relationship/house,ElisabetAppearance.md; ElisabetEBCI.md; ElisabetID.md; ElisabetRender.md,G,8. PLACE ANCHORS,PROTECT RELATIONSHIP / DO NOT INVENT CHARACTER BIO.,,,family memory; Þingholt house emotional anchor.,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G05,Naima el-Faris,,G,8. PLACE ANCHORS,KEEP / PROMOTE MARRAKESH PLACE ANCHOR.,,,Filament diaspora coordinator; grounding/mentorship; local human continuity.,"Elisabet, Kade, Caro, Lacuna, Seraphine as earned.",,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",OPEN.,bundle G approved (Ruling 3)
G06,Santa Fe,,G,8. PLACE ANCHORS,NO RECURRING PLACE ANCHOR PROMOTED.,,,,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G07,Coastal Japan,,G,8. PLACE ANCHORS,NO NEW REPRESENTATIVE CHARACTER REQUIRED.,,,,,,,"Place references PROVISIONAL. Ruling 3 of 2026-09-19: bundles B and G are ""approved in substance; their place references inherit Ruling 1's preliminary status"". Ruling 8 of 2026-09-20 makes that status a populated, marked value rather than an absence - see grids/locations_registry.csv, which carries every place-to-type assignment with its own status. Anchors CITE the registry rather than copying it, so they regenerate when vetting changes a type. Ledger 65.",,bundle G approved (Ruling 3)
G08,Mara Niht,,G,8. PLACE ANCHORS,"KEEP NAME / INTEGRATED. Promoted from the hold list 2026-09-21: both gates cleared - integration ruled 2026-09-20, source body recovered 2026-09-21.",cross-project import; music-culture figure,"LIMITED. Ruled 2026-09-21: ""a similar role as Trip (just in a more limited scope)"". Trip is saga-recurring as place logic permits; Mara Niht is narrower. The bound is ruled; the exact count is not.","Music-culture figure, analogous to Trip's cultural-host function at smaller scope. Trip's own function reads: Velvet Vein cultural host; gossip archivist; informal information switchboard; humor/social pressure valve. INFERRED BY ANALOGY, not transcribed: the author ruled the resemblance and the narrower scope, not a field-by-field copy. Recovered artist identity is separate - see recovery/MARA_NIHT_RECOVERY_2026-09-21.md.","Connections to Elisabet Arnardottir - RULED 2026-09-20, nature still DO NOT LOCK. Velvet Vein / Trip intersection only after approval (manifest section 12). NEITHER appears in the source: 0 hits for Elisabet, Velvet Vein or Trip across 108,378 words.","DO NOT LOCK, unchanged by recovery: age, nationality, style, instrument, exact relationship to Elisabet, Resonance status, first appearance, Harpa role. Non-resonance is INFERRED from the Trip analogy (Trip: ""non-resonant; not Filament leadership"") and is NOT ruled - confirm before use.","Name selected deliberately in source from Mara of the Niht / Niht Mara / MaraNIHT and others; descends from Night-Mare / Night-Rider. Earlier persona headings: MARA (Nightweight), MARA (Night-Rider).","CROSS-PROJECT IMPORT: originates in a separate music project inspired by the Concord world, integrated by ruling. Source body recovered 2026-09-21 but NOT STORED HERE - 513 lyric blocks, and CLAUDE.md section 1 forbids prose. Distillation at recovery/MARA_NIHT_RECOVERY_2026-09-21.md; raw files remain the author's only copies, which section 7 flags as a risk. Place references PROVISIONAL per Ruling 3 and Ruling 8. Tier unassigned - the A-E scheme has no category for another project's canon. Ledger section 67.",OPEN.,bundle G approved (Ruling 3); integration ruled 2026-09-20; role ruled 2026-09-21
L01,Mira (echo guide),,,1. AUTHOR-LOCKED CONTINUITY CONTROLS,KEEP. Added 2026-09-26 by author ruling.,metaphysical echo; a previous Seraphine-type,"OPEN. Appearance schedule unresolved (author, 2026-09-26). Active before the Mending; released during it.",Guide to Seraphine before the Mending. Guides her to consider more than recreating the hard cap that Silence and Hope recommend.,Seraphine: the only one who perceives her. Silence and Hope: she helped them make the current hard cap.,"Perceived only by Seraphine; never identifiable to the cast (Tahl's echo stays the only identifiable echo). Not one of ""the guides"" (Lucien and Caro) and not the conduit (Tahl's echo). DO NOT LOCK: appearance, schedule, prior life, what she was called in life.","Author idea 2025-11-13 (Prompt_crafting_types 39413); role locked 2025-11-13 (""soft guide and confidant""); flattened 2025-11-18 to 11-27 into a Filament elder and a memory-anchor; conflated with the community Mira in the 2026-09-19 Filament casting resolution.","Not from a Ruling 3 bundle; added by author ruling, so the bundle field is blank. A different figure from the retired community Mira (cast_retired_aliases.csv) and from the ""portions of Mira"" material under A01 and A02. Source: recovery/MIRA_ECHO_GUIDE_SOURCE_RECOVERY_2026-09-26.md.",Her echo is released during the Mending (ruled 2026-09-26).,author ruling 2026-09-26 (decisions/MIRA_AND_SILENCE_HOPE_ORIGIN_AUTHOR_RULING_2026-09-26.md)
