milestone_id,channel,reader_group,description,target_trilogy,target_book,target_act,target_episode_or_range,thread,thread_pressure_before,thread_pressure_after,required_setups,breadcrumb_density,requires_packet,supplement_type,supplement_function,supplement_vehicle,supplement_form,status,notes
M10,,,Baz dies rescuing a child in the Warehouse collapse at the end of B03; the rest of the cast learns at the start of B04,T1,B03,A3,,baz,5,4,"M08,M11",HIGH,Y,,,,,proposed,"[REVISE | REVIEW] OVL; REV; Baz death timing lock (in proposals, ledger 26.6); WH (bystanders hampering efforts: hedged). Setup types: M08:material; M11:material (HYPOTHESIS: the crowd slowed evacuation). Open: A3 or EP; whether the reported dead 'first responder' is Baz or a second death. Was: Placement open: B3.A3 (Notion E13) or B3.EP. Ruled 2026-09-19 that the epilogue is a plausible home."
M12,MT,Casual Web-Novel Binger,Tahl is named in the B03 epilogue and linked to the MT voice; B04 opens his remorse arc,T1,B03,EP,,UNSCORED,4,4,"M04,M10,M11",HIGH,Y,CHAR,,,,ruled,"[REVISE | RULED] GATE #1 (B03 epilogue, RULED); WH #1 (aftermath reports: hedged, examples); VS (B04 remorse). Setup types: M04:character; M10:chronological; M11:informational. Open: Which epilogue episode; the aftermath reports he reads (unexpected bystanders, a dead first responder) are hedged examples. Was: Ruled 2026-09-19. Lands on Notion B4.A1.E1 'The Map No One Wants'. supplement_type CHAR is provisional."
M13,,Hardcore Fantasy Nerd,"After institutional failures become public, Technarc-aligned authorities expand monitoring and containment practices around Resonance-active people; the policy has specific human consequences and remains uneven rather than a universal global regime",T2,B04,A2,,UNSCORED,4,4,M08,MED,Y,POL,,,,proposed,"[REVISE | APPROVED ARCHITECTURE] B04 institutional pressure. Exact Protocol 9 name, authority, jurisdiction and practices remain open."
M14,,Hardcore Fantasy Nerd,"Public movements promising safety through suppression, quieting or stricter control gain wider support as fear and institutional failure become ordinary civic experience",T2,B04,A2,,UNSCORED,4,4,M06,MED,Y,POL,,,,proposed,[REVISE | APPROVED ARCHITECTURE] B04 visibility -> B05 reach. Exact actor/faction mapping remains open; do not restore superseded Saeko assignments silently.
M15,MT,Casual Web-Novel Binger,Retired: Kade does not require a B04 public-influence milestone; pre-succession human/audience presence may remain in character and episode architecture,T2,B04,A2,,UNSCORED,4,4,,MED,Y,FUN,,,,retired,[AUTHOR CLARIFICATION] RULED 2026-09-26: the premature B04 Kade milestone is retired; Kade's meaningful MT succession follows Tahl's death. [RETIRE | AUTHOR-APPROVED 2026-09-26] Conflicted with ruled post-Tahl MT succession. No direct successor row.
M37,,,"Tahl learns Baz's name from a news report, and learns why Baz mattered from the protagonists",T2,,,"B04-B06, before M20",tahl,,,"M10,M12",MED,Y,,,,,ruled,"[AUTHOR CLARIFICATION 2026-09-26] Ruled wording restored; no new ruled claims. Proposed additional wording (ChatGPT, not ruled; review pending): Tahl learns Baz's name from ordinary reporting and learns from the protagonists why Baz mattered; when later evidence undercuts one of his own consequential interpretations, he publicly corrects it despite losing authority with part of his audience Proposed target: B05 A2 B04-B05, before M20. Approved note: [NEW | RULED] B6B8 1.4 (RULED); WH (name comes late). Setup types: M10:informational; M12:character. Open: Date and outlet of the report; which protagonists."
M16,,,"A B04 civic confrontation makes the political split materially consequential; crowd violence, policing/institutional choices and any verified Resonance effects remain separately attributable",T2,B04,A3,,UNSCORED,4,5,"M13,M14",HIGH,Y,,,,,proposed,[REVISE | LEAN EVENT] Riot of Light name/survival/site remain open. Physical Resonance effects require their own event card.
M17,,LitRPG Fan,"A specific engineered-control intervention fails or causes bounded human harm despite prior warnings and internal dissent, causing a consequential community, operator group or local authority to stop treating Technarc direction as presumptively safe or authoritative",T2,B06,A1,,technarc,4,5,M13,MED,Y,,,,,proposed,[REVISE | APPROVED ARCHITECTURE] Setup B05 A2 -> payoff B06 A1; Singapore preferred. Exact manufactured-meta mechanism unresolved; no battery-to-operative transfer assumption. Feeds M30.
M18,,Casual Web-Novel Binger,"Filament networks divide over how much risk, intervention and coercion care can justify, and the disagreement changes actual coordination, trust or resource flow",T2,B05,A2,,filaments,4,5,M02,MED,Y,,,,,proposed,[AUTHOR CLARIFICATION 2026-09-26] Status proposed: revised wording is design for continued reconciliation; no specific ruling. The M15 setup is removed because M15 is retired (ruled). ChatGPT promotion note: [REVISE | AUTHOR-APPROVED 2026-09-26] Crack may begin B04; durable consequence B05. M15 dependency removed. Later splinters may feed Brightbreak without making all dissent extremist.
M19,,Hardcore Fantasy Nerd,"Retired from saga-milestone status: the B05 New Orleans Colorstorm survives as a named local recurring event-condition candidate; its old first-global, emotional-bleedthrough and mandatory-finale claims remain retired",T2,B05,A3,,UNSCORED,5,5,,HIGH,Y,,,,,retired,[AUTHOR CLARIFICATION] RULED 2026-09-26: removed from saga-milestone status. The Colorstorm is kept as a named B05 New Orleans event-condition for further development; it does not automatically cause or gate Santa Fe. [RETIRE MILESTONE ONLY | AUTHOR-APPROVED 2026-09-26] Preserve Colorstorm in event/place/VFX architecture. See proposals/B05_COLORSTORM_SALVAGE_REINTEGRATION_PASS1_2026-09-26.md. It does not cause or gate Santa Fe.
M38,,,"Santa Fe escalates: warnings that originate in VT go unheeded; Fracture at the close of B06 Act I, Rupture in Act II",T2,B06,,,world,,,,HIGH,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Reverted to the approved wording. The accepted escalation ladder stands (Fracture at the close of B06 A1, Rupture in A2). FLAGGED FOR ADJUDICATION: the exact Rupture and death placement against M20 (end of B06); not resolved. The Tahl/Filament transmission of the VT warning stays OPEN. M19 setup removed: M19 is retired as a milestone and the Colorstorm does not automatically cause or gate Santa Fe (ruled). Proposed alternative wording (ChatGPT, not ruled): By late B05, Tahl's bounded VT warning and independent mortal evidence make Santa Fe a credible danger requiring action; responses remain incomplete or contested. In B06 the threatened condition escalates into the Santa Fe rupture where Tahl dies Approved-copy note: [NEW | RECALLED] B6B8 1 (ladder mapping accepted as intent; warnings from VT, RECALLED; the Southwest pull, RECALLED); B06 card. Setup types: M19:thematic. Open: Who relays the VT warnings (VT never broadcasts); CONFLICT to settle: Rupture in A2 against Tahl's death at the end of B06."
M20,,,"Tahl dies at the end of B06 at the Santa Fe rupture, in a late fatal VeilThread contact, not a knowingly chosen sacrifice; he glimpses the wound pattern",T2,B06,A3,,tahl,5,5,"M12,M38",HIGH,Y,,,,,ruled,"[AUTHOR CLARIFICATION 2026-09-26] Ruled wording restored; no new ruled claims. Proposed additional wording (ChatGPT, not ruled; review pending): Tahl dies at the end of B06 at the Santa Fe rupture after a late fatal VeilThread contact; the death is not a knowingly chosen sacrifice, and he glimpses enough of the wound pattern to leave a mortal informational legacy Approved note: [REVISE | RULED] ELIAS 4 (end of B06, RULED; glimpses the pattern, RULED); Tier-1 TahlEBCI (fatal late VT contact). Setup types: M12:character; M38:material. Open: The staging (a task on the list); the injury; supersedes the A2 lean and the old New Orleans transit scene. Was: Notion B6.A3.E15, shielding a child on a collapsing transit platform."
M21,VT,Hardcore Fantasy Nerd,"At Tahl's death, Silence makes its first consequential act of agency by preserving a bounded echo of him; the echo remains non-identifiable to the living cast until its single ruled identifiable flare in B09",T2,B06,A3,,silence_hope,5,5,"M09,M20",HIGH,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed. The M22 merge into M21 is ACCEPTED by the author, on the condition that it does not alter the rule of one identifiable Tahl flare, in B09 (M52); this wording keeps that rule. 'Silence preserves/collects' remains RECALLED, not ruled. ChatGPT promotion note: [MERGE M21+M22 | AUTHOR-APPROVED 2026-09-26] What persists, mechanism, limits and capabilities remain open. Downstream former M22 dependencies move here."
M22,VT,,"Retired: merged into M21, which now carries Silence preserving Tahl's bounded non-identifiable echo",T2,B06,A3,,tahl,5,5,M21,HIGH,Y,,,,,retired,"[AUTHOR CLARIFICATION] RULED 2026-09-26: the merge into M21 is acceptable, provided it does not alter the rule of one identifiable Tahl flare, in B09. [RETIRE/MERGE | AUTHOR-APPROVED 2026-09-26] Downstream dependencies move to M21."
M39,,,"Tahl's last message reaches the group after his death, by mortal means, and gives them the wound pattern",T2,B06,EP,,tahl,,,M20,HIGH,Y,,,,,ruled,"[AUTHOR CLARIFICATION 2026-09-26] Ruled wording restored; no new ruled claims. Proposed additional wording (ChatGPT, not ruled; review pending): A message Tahl created by mortal means reaches the group after his death and gives them the shape of the wound pattern without providing a complete solution Approved note: [NEW | RULED] ELIAS 4 (RULED); CHAIN 1 (the message gives the shape). Setup types: M20:informational. Open: Delivery (mortal, not VT); recipients; content; order against M23."
M23,MT,Casual Web-Novel Binger,"After Tahl's death, Kade writes grief into MT's comment space believing it private; the writing becomes visible/read, creating the seed of a public responsibility he has not yet consciously accepted",T2,B06,EP,,UNSCORED,5,5,M20,MED,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed: design wording; the M15 setup is removed because M15 is retired (ruled). Kade's meaningful MT succession follows Tahl's death (ruled, M15). ChatGPT promotion note: [REVISE | AUTHOR-APPROVED 2026-09-26] M15 dependency removed. Kade preferably remote from Santa Fe. B07 M40 is the first deliberate post turn."
M40,,,Book 7 opens at Tahl's funeral with Lacuna prominent; she inspires Kade to post,T3,B07,A1,,kade,,,"M20,M23",MED,Y,,,,,ruled,"[NEW | RULED] SPINE follow-up (funeral, Lacuna prominent, RULED); ELIAS 5 (Lacuna inspires, RULED); LacunaEBCI. Setup types: M20:chronological; M23:character. Open: Whether the second line is on the page."
M41,,,"Elias, in New Orleans for MT, identifies Kade at the funeral and attaches to him",T3,B07,A1,,kade,,,M40,MED,Y,,,,,ruled,[NEW | RULED] ELIAS (card corrections E1-E4: late-Neon relocation for MT; identifies Kade at the funeral). Setup types: M40:chronological. Open: Their first contact on the page.
M24,,Hardcore Fantasy Nerd,"Condition, not event: services, transport and institutions degrade unevenly across regions; some persist",T3,B07,A1,,UNSCORED,5,5,M38,MED,Y,POL,,,,proposed,"[REVISE | REVIEW] Broader late-Neon instability/Santa Fe threshold is historical-material setup, not claim that Santa Fe physically causes worldwide degradation. Uneven local degradation requires lived evidence."
M25,,Casual Web-Novel Binger,"Condition, not event: diaspora and Filament-supported travel expand as routes and supplies come under pressure",T3,B07,A2,,UNSCORED,5,5,M24,MED,Y,SLICE,,,,proposed,[REVISE | REVIEW] OVL; LOOM1 6. Setup types: M24:material. Open: Scale ('millions' unproven). Was: Notion B7.A2.E6. Filament diaspora activates.
M26,MT,,"Kade learns he is being read and takes over MT, the last broadly working public channel, maintained through uneven infrastructure",T3,B07,A2,,mt,5,5,"M23,M24",MED,Y,,,,,proposed,"[REVISE | PARTLY RULED] KadeEBCI ('takes over', RULED); LacunaEBCI and EliasEBCI (MT the only / last broadly working channel, card corrections). Setup types: M23:character; M24:material. Open: The review's 'last intact' objection against the card wording. Was: Notion B7.A1.E3 and B5.A3.E11 foreshadow. Post-Mending bible 5.4 confirms MT as backbone."
M27,VT,,A VeilThread-side beat: an echo that may or may not be Tahl's reaches toward Silence; not identifiable to the cast,T3,B07,A3,,tahl,5,5,M21,HIGH,Y,,,,,proposed,[DEPENDENCY REPAIR 2026-09-26] Former M22 setup moved to merged M21. Survival of this B07 VT-side beat remains open.
M49,,,"Seraphine is drawn into becoming the Loom and begins to question the hard cap; Mira, perceived only by her, guides her past recreating it",T3,B07,,"B07 onward, schedule open",seraphine,,,M03,MED,Y,,,,,ruled,[NEW | RULED] WOUNDS 1.2 (RULED); CHAIN 2 (doubt grows from becoming the Loom); MIRA 1 and 5 (RULED). Setup types: M03:thematic. Open: Mira's appearance schedule is unresolved (author).
M42,,,"Kade's post moves people and New Orleans breaks, forcing an accountable departure; Elias begins to subvert Kade",T3,B07,A3,,kade,,,"M26,M41",HIGH,Y,,,,,ruled,"[NEW | RULED] SPINE 2 (C1+C2, RULED); ELIAS 5 (Elias subverts from Act III); B07 card. Setup types: M26:character; M41:character. Open: Post content; what breaks (not a third collapse); civic or scar; post/break order; the act (A3 is a reading)."
M28,,,The crew leaves New Orleans to stabilise the wounds; not toward the swamp,T3,B07,A3,,UNSCORED,5,5,"M39,M42",HIGH,Y,,,,,ruled,"[REVISE | RULED] SPINE (departure, not exodus toward the swamp); WOUNDS 1.1 (stabilisation, RULED); CHAIN 1. Setup types: M39:informational; M42:material. Open: Route out; who leaves. Was: Notion B7.A3.E15. Warehouse scar destabilises; the city cannot hold them."
M43,,,"The Lacuna-Kade split is foreshadowed at the end of Book 7, possibly by an argument",T3,B07,A3,,kade,,,M42,MED,Y,,,,,ruled,[NEW | RULED] SPINE 4 (RULED; 'argument?' tentative). Setup types: M42:character. Open: The form of the foreshadowing.
M44,,,Lacuna and Kade split at the start of Book 8,T3,B08,A1,,kade,,,M43,MED,Y,,,,,ruled,[NEW | RULED] SPINE 4 (RULED). Setup types: M43:character. Open: The cause (11-28 plan: arguing about embracing violence).
M45,,,"At Santa Fe, where Tahl died, the crew finds something real at the first wound, at a cost, and stabilises it",T3,B08,,,world,,,"M28,M39",HIGH,Y,,,,,proposed,"[NEW | PARTLY RULED] SPINE 3 and follow-up (A1 at Santa Fe, RULED); WOUNDS 1.3 (stabilises Santa Fe: LEAN); CHAIN 1; B08 card. Setup types: M28:chronological; M39:informational. Open: What is found; the cost; the act."
M46,,,Kade's first complicity in his splinter's violence,T3,B08,,,kade,,,M44,HIGH,Y,,,,,ruled,"[NEW | RULED] SPINE 3 (A2, RULED); B08 card. Setup types: M44:character. Open: The form and victims; must not pre-empt the Rex near-kill."
M47,,,"Mound City (St. Louis), the second wound: the chain's particulars are confirmed",T3,B08,,,world,,,M45,MED,Y,,,,,ruled,"[NEW | RULED] CHAIN 1 (Mound City in B08 after Santa Fe, RULED; discovery beats become confirmation beats); Alignment Chain (author-saved). Setup types: M45:chronological. Open: The act; what is confirmed and by whom."
M29,,Hardcore Fantasy Nerd,Retired: no pre-Mending formal Echo Node; its site function passes to M45 and M47,T3,B08,A3,,UNSCORED,5,5,,HIGH,Y,LORE,,,,retired,"[RETIRE | REVIEW] Packet C; SPINE (M29 retires); Mechanica 7.4. Was: Notion B8.A3.E11, Elisabet discovers it and Seraphine stabilises it."
M30,,LitRPG Fan,Specific Technarc capabilities or manufactured-meta assets may fail or fragment; total collapse needs evidence,T3,B08,A3,,technarc,5,4,M17,MED,Y,,,,,proposed,"[HOLD | REVIEW] OVL; LOOM1 6 (remnant accountability, POOL-016). Setup types: M17:institutional. Open: Scale. Was: Notion B8.A3.E13 and end state. Leaves Dominion alone for Book 9."
M48,,,"Serpent Mound, the third wound: visited at the end of Book 8; the escape from it opens Book 9",T3,B08,A3,B08 end to B09 A1,world,,,M47,HIGH,Y,,,,,ruled,"[NEW | RULED] CHAIN 1 (continuous across the break, RULED); SPINE follow-up (B09 escape at Serpent Mound, RULED). Setup types: M47:chronological. Open: Who is escaped from, and how; sequence against M31 (deferred)."
M31,,,"Book 8 closes on a fleeting storm-wall opening that Elias claims for Kade; the factions conclude it leads back to Louisiana, and the swamp stays secret",T3,B08,A3,,UNSCORED,5,5,"M46,M48",HIGH,Y,,,,,proposed,"[REPLACE | PARTLY RULED] B6B8 4 (opening permitted in B08, may be fleeting, RULED); B6B8 2 (Elias claims it: intent); SPINE third follow-up (factions think Louisiana, RULED; via the opening: HYPOTHESIS); GATE #4 (actual opening: LEAN). Setup types: M46:character; M48:chronological. Open: Sequence with M48 DEFERRED until milestones are extrapolated; whether Kade caused it; where Elias is. Was: Notion B8.A3.E15, cataclysmic fade-to-white."
M50,,,The NOLA feint: the factions look for the crew in New Orleans while they are elsewhere,T3,B09,A2,,UNSCORED,,,"M31,M48",HIGH,Y,,,,,ruled,[NEW | RULED] SPINE (11-28 plan; the feint's engine is the factions' Louisiana belief). Setup types: M31:informational; M48:chronological. Open: Its acts (A1-A2 per the plan); who stages it.
M51,,,"The antagonist factions learn the swamp is the Mending site, in Book 9 Act III and not before",T3,B09,A3,,UNSCORED,,,M50,HIGH,Y,,,,,proposed,"[NEW | INTENT] B6B8 4 (site secret, author intent with a firm reason; governing constraint). Setup types: M50:chronological. Open: Which factions; how they learn."
M32,VT,,Silence and Hope face the limits of the old Veil and make a consequential choice before the Mending; the quoted confessions are historical options,T3,B09,A3,,silence_hope,5,5,"M21,M51",HIGH,Y,,,,,proposed,[HOLD | REVIEW] OVL; CHAIN 4 (12-07 order wins). Setup types: M21:character; M51:chronological. Open: Whether a confession scene survives beside the 12-07 order. Was: Notion B9.A3.E12. Their agency becomes speech.
M52,,,"Elias attacks Rex; Rex knocks him down; Kade, fearing Rex will kill Elias, attacks Rex; Tahl's echo flares and stops him, the echo's one identifiable appearance, known by Rex",T3,B09,A3,penultimate chapter,kade,,,"M21,M41,M46,M51",HIGH,Y,,,,,ruled,[DEPENDENCY REPAIR 2026-09-26] M22 merged into M21. Ruled B09 choreography and single identifiable Tahl flare otherwise unchanged.
M33,,Hardcore Fantasy Nerd,"The Mending, the last chapter: Seraphine becomes the Loom; Hope, then Silence (after powering Tahl's echo), give themselves to it; Lucien and Caro become the guides, one at a time, with Elisabet's goodbye to Caro between; Mira's echo is released",T3,B09,A3,,silence_hope,5,3,"M05,M32,M49,M52",HIGH,Y,,,,,ruled,"[REVISE | RULED] CHAIN 2 and 4 (cost; 12-07 order; guides and conduit, RULED); MIRA 5 (Mira released; the Loom is powered by a soul, RULED). Setup types: M05:character; M32:character; M49:character; M52:physical (Silence's boost). Open: The breathing veil's mechanism (D5); what the answer is (reserved for the end). Was: Notion B9.A3.E14, 'the cosmological core of the saga'. Era boundary begins here."
M34,,,Post-Mending storm and service conditions become less hostile over measured regions and intervals,T3,B09,A3,,UNSCORED,3,1,M33,HIGH,Y,,,,,proposed,[REVISE | REVIEW] OVL; REV. Setup types: M33:chronological. Open: Reach and lag; residual hazard. Was: Notion B9.A3.E15. Post-Mending envelope applies from here.
M35,MT,Casual Web-Novel Binger,"MT continues under a new MT-initialled name with a new role; Elisabet, Rex and Kade stitch society back together, Kade with the rebellion's people",T3,B09,EP,,UNSCORED,1,1,"M23,M26,M34",MED,Y,,,,,ruled,"[REVISE | RULED] GATE 5 addendum (MT continues, RULED); B6B8 3.2 (the reconstruction, RULED). Setup types: M23:character; M26:character; M34:chronological. Open: The name (MendedThread, MortalThreads are examples); Accord or Concord; the timeskip (lean: a few days). Was: Notion B9 E20 and Post-Mending bible 7.3. A rename, not a channel conversion."
M53,LT,,"The epilogue's last beat: Lacuna and Kade under the night sky; Seraphine reaches out through LT, and the handshake reaches Kade's device through Tahl's echo; his triangle is implied",T3,B09,EP,,seraphine,,,"M33,M35,M40",HIGH,Y,,,,,ruled,"[NEW | RULED] LTA (scene and Mobius with the B01 prologue, RULED); GATE 5 (LT is the final thing); B6B8 3 (Tahl the conduit, RULED; LT_RULES 6 exception); B6B8 4 (triangle implied, RULED). Setup types: M33:chronological; M35:chronological; M40:character. Open: What the prompt presents; whether Lacuna perceives it."
M36,VT,,"An identifiable Tahl farewell would be a second appearance; fold into M53's implied triangle, merge into M52's flare, or retire",T3,B09,EP,,tahl,1,1,"M21,M33",HIGH,Y,,,,,proposed,[DEPENDENCY REPAIR 2026-09-26] M22 merged into M21. Row remains under separate disposition review because a second identifiable farewell conflicts with the single-flare ruling.
M54,,Casual Web-Novel Binger,"During a large evacuation or care crisis, Caro reaches the limit of what she can personally carry, entrusts a consequential task or group of people to someone else, and leaves before the work is finished; the response succeeds better because responsibility is distributed",T2,B05,A3,,UNSCORED,4,4,M07,MED,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed. Chicago is a DESIGN OPPORTUNITY for Caro, not recovered attendance. Thread: ChatGPT's label 'caro' is not in the vocabulary; set UNSCORED pending the author's taxonomy review (the vocabulary is not expanded). ChatGPT promotion note: [NEW | AUTHOR-APPROVED 2026-09-26] Handoff is not abandonment. Chicago is preferred theater via ordinary long-postponed home visit; exact occasion/evacuation remains episode architecture."
M55,,,"With evidence still incomplete, Elisabet recommends a bounded protective action before certainty, states what is known versus inferred and what could falsify the model, and accepts responsibility for the costs of acting too early or too late",T2,B05,A3,,UNSCORED,4,4,,MED,Y,,,,,proposed,[AUTHOR CLARIFICATION 2026-09-26] Status proposed: design. Thread: ChatGPT's label 'elisabet' is not in the vocabulary; set UNSCORED pending taxonomy review. Its claim that Tahl originates the Santa Fe warning is NOT locked; the Tahl/Filament transmission question stays open. ChatGPT promotion note: [NEW | AUTHOR-APPROVED 2026-09-26] Reykjavík/field + distributed evidence preferred. Tahl originates the critical VT warning; Elisabet does not become a supernatural detector. Feeds M38.
M56,,Horny Housewife,"Caro and Elisabet explicitly choose their relationship while also choosing separate necessary work, establishing that commitment does not require constant co-location or one partner abandoning her independent responsibility",T2,B05,A2,,caro_elisabet,3,4,M07,MED,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed: design relationship milestone. Thread caro_elisabet is an existing, accurate label and is kept. ChatGPT promotion note: [NEW | AUTHOR-APPROVED 2026-09-26] Exact romance/heat rung remains relationship architecture. Supports B06 separation and B09 goodbye."
M57,,Crossover Romantasy Reader,"After Baz's death and Lucien's withdrawal to Vienna, Seraphine and Lucien choose to remain in relationship without making Seraphine responsible for regulating his grief or Lucien responsible for containing her instability",T2,B05,A2,,UNSCORED,4,4,"M05,M10",MED,Y,,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed: design relationship milestone. Thread: ChatGPT's label 'seraphine_lucien' is not in the vocabulary, and no existing label covers the pair accurately; set UNSCORED pending taxonomy review. ChatGPT promotion note: [NEW | AUTHOR-APPROVED 2026-09-26] Setup B04 separation/Vienna; payoff B05. Chosen connection without rescue. Supports later reciprocal care and Mending relationship."
