milestone_id,channel,reader_group,description,target_trilogy,target_book,target_act,target_episode_or_range,pressure_before,pressure_after,required_setups,breadcrumb_density,requires_packet,supplement_type,supplement_function,supplement_vehicle,supplement_form,status,notes
M11,MT,,Tahl's exposure is revealed as the cause of the incident that killed Baz,T1,B03,EP,,4,4,"M09,M10",HIGH,Y,,,,,proposed,Ruled 2026-09-19. In neither draft; the saga's moral engine. Paid off at M12.
M12,MT,Casual Web-Novel Binger,Tahl is named and revealed as MT's author; his remorse opens his protagonist arc,T2,B04,A1,,4,4,"M04,M11",HIGH,Y,CHAR,,,,proposed,Ruled 2026-09-19. Lands on Notion B4.A1.E1 'The Map No One Wants'. supplement_type CHAR is provisional.
M13,,Hardcore Fantasy Nerd,Protocol 9 launched: resonance-active people become a monitored class,T2,B04,A2,,4,4,M08,MED,Y,POL,,,,proposed,"Notion B4.A2.E7, Director Han Wei."
M14,,Hardcore Fantasy Nerd,Saeko Morita's anti-resonance movement goes national,T2,B04,A2,,4,4,M06,MED,Y,POL,,,,proposed,Notion B4.A2.E6 'Emotion is entropy'.
M15,MT,Casual Web-Novel Binger,Kade is seen: an accidental folk voice exists and Filament youth have a centre,T2,B04,A2,,4,4,M02,MED,Y,FUN,,,,proposed,Notion B4.A2.E10. Sets up M23.
M16,,,The Riot of Light: open civic violence over resonance,T2,B04,A3,,4,5,"M13,M14",HIGH,Y,,,,,proposed,Notion B4.A3.E15. Act named for it in the 27-Act Macro Structure.
M17,,LitRPG Fan,First manufactured meta deployed publicly,T2,B05,A2,,4,5,M13,MED,Y,,,,,proposed,Notion B5.A2.E7 'Blinking Girl'. TECH supplement type provisional; left blank.
M18,,Casual Web-Novel Binger,The Filaments fracture: 'Connection is survival' against 'Action is survival',T2,B05,A2,,4,5,"M02,M15",MED,Y,,,,,proposed,Notion B4.A1.E5 first crack; B5.A2.E9 raid completes it.
M19,,Hardcore Fantasy Nerd,The Colorstorm: emotional bleedthrough goes global; resonance becomes a weather system,T2,B05,A3,,5,5,M06,HIGH,Y,,,,,proposed,Notion B5.A3.E15. First global-scale event.
M20,,,Tahl dies,T2,B06,A3,,5,5,M12,HIGH,Y,,,,,proposed,"Notion B6.A3.E15, shielding a child on a collapsing transit platform."
M21,VT,Hardcore Fantasy Nerd,Silence and Hope make their first choice: two constructs built without agency act,T2,B06,A3,,5,5,"M09,M20",HIGH,Y,,,,,proposed,Notion B6.A3.E13. Everything in Book 9 depends on this.
M22,VT,,Tahl's Echo is caught in VT: death is not the end of him,T2,B06,A3,,5,5,"M20,M21",HIGH,Y,,,,,proposed,"Notion B6.A3.E15. Enables M27, M33, M36."
M23,MT,Casual Web-Novel Binger,MT passes to Kade; the channel's voice changes permanently,T2,B06,EP,,5,5,"M15,M20",MED,Y,,,,,proposed,"Notion B6 aftermath unit E20, 'I'm here. I won't hide.'"
M24,,Hardcore Fantasy Nerd,Global infrastructure collapse: governments admit there is no containment pathway,T3,B07,A1,,5,5,M19,MED,Y,POL,,,,proposed,Notion B7.A1.E5 'SYSTEMIC INFRASTRUCTURE FAILURE'.
M25,,Casual Web-Novel Binger,The diaspora begins: millions move and the world's population map is rewritten,T3,B07,A2,,5,5,M24,MED,Y,SLICE,,,,proposed,Notion B7.A2.E6. Filament diaspora activates.
M26,MT,,MT becomes the last intact channel,T3,B07,A2,,5,5,"M23,M24",MED,Y,,,,,proposed,Notion B7.A1.E3 and B5.A3.E11 foreshadow. Post-Mending bible 5.4 confirms MT as backbone.
M27,VT,,"Tahl's Echo shows Intent: he is an agent again, not a residue",T3,B07,A3,,5,5,M22,HIGH,Y,,,,,proposed,"Notion B7.A3.E14, 'Go where it began.'"
M28,,,Exodus from New Orleans toward the swamp,T3,B07,A3,,5,5,"M08,M24",HIGH,Y,,,,,proposed,Notion B7.A3.E15. Warehouse scar destabilises; the city cannot hold them.
M29,,Hardcore Fantasy Nerd,First Echo Node discovered and stabilised: the Breathable Veil has a working blueprint,T3,B08,A3,,5,5,"M03,M28",HIGH,Y,LORE,,,,proposed,"Notion B8.A3.E11, Elisabet discovers it and Seraphine stabilises it."
M30,,LitRPG Fan,Technarc collapses; its metas fail,T3,B08,A3,,5,4,M17,MED,Y,,,,,proposed,Notion B8.A3.E13 and end state. Leaves Dominion alone for Book 9.
M31,,,The swamp convergence: the finale's conditions exist,T3,B08,A3,,5,5,"M28,M29",HIGH,Y,,,,,proposed,"Notion B8.A3.E15, cataclysmic fade-to-white."
M32,VT,,Silence and Hope arrive and confess: 'I was afraid.' 'I was alone.',T3,B09,A3,,5,5,"M21,M31",HIGH,Y,,,,,proposed,Notion B9.A3.E12. Their agency becomes speech.
M33,,Hardcore Fantasy Nerd,"The Mending: the hard-cap Veil ends, the Breathable Veil forms, Silence and Hope dissolve into Lucien and Caro",T3,B09,A3,E14,5,3,"M03,M05,M27,M29,M32",HIGH,Y,,,,,proposed,"Notion B9.A3.E14, 'the cosmological core of the saga'. Era boundary begins here."
M34,,,The Lightfall: resonance storms stop worldwide,T3,B09,A3,E15,3,1,M33,HIGH,Y,,,,,proposed,Notion B9.A3.E15. Post-Mending envelope applies from here.
M35,LT,Casual Web-Novel Binger,MT is renamed LT; Kade's stewardship completes,T3,B09,EP,,1,1,"M23,M26,M34",MED,Y,,,,,proposed,"Notion B9 E20 and Post-Mending bible 7.3. A rename, not a channel conversion."
M36,VT,,Tahl's Echo dissolves: 'Be kind for me.',T3,B09,EP,,1,1,"M22,M33",HIGH,Y,,,,,proposed,Notion B9 E21. Releases the saga's moral foundation.
