milestone_id,channel,reader_group,description,target_trilogy,target_book,target_act,target_episode_or_range,thread,thread_pressure_before,thread_pressure_after,required_setups,breadcrumb_density,requires_packet,supplement_type,supplement_function,supplement_vehicle,supplement_form,status,notes
M10,,,Baz dies rescuing a child in the Warehouse collapse at the end of B03; the rest of the cast learns at the start of B04,T1,B03,A3,,baz,5,4,"M08,M11",HIGH,Y,,,,,proposed,"[REVISE | REVIEW] OVL; REV; Baz death timing lock (in proposals, ledger 26.6); WH (bystanders hampering efforts: hedged). Setup types: M08:material; M11:material (HYPOTHESIS: the crowd slowed evacuation). Open: A3 or EP; whether the reported dead 'first responder' is Baz or a second death. Was: Placement open: B3.A3 (Notion E13) or B3.EP. Ruled 2026-09-19 that the epilogue is a plausible home."
M12,MT,Casual Web-Novel Binger,Tahl is named in the B03 epilogue and linked to the MT voice; B04 opens his remorse arc,T1,B03,EP,,UNSCORED,4,4,"M04,M10,M11",HIGH,Y,CHAR,,,,ruled,"[REVISE | RULED] GATE #1 (B03 epilogue, RULED); WH #1 (aftermath reports: hedged, examples); VS (B04 remorse). Setup types: M04:character; M10:chronological; M11:informational. Open: Which epilogue episode; the aftermath reports he reads (unexpected bystanders, a dead first responder) are hedged examples. Was: Ruled 2026-09-19. Lands on Notion B4.A1.E1 'The Map No One Wants'. supplement_type CHAR is provisional."
M13,,Hardcore Fantasy Nerd,Protocol 9 expands monitoring and containment of Resonance-active people after the institutions fail to predict the Warehouse,T2,B04,A2,,UNSCORED,4,4,M08,MED,Y,POL,,,,proposed,"[HOLD | REVIEW] OVL; REV; WH (Technarc's unsanctioned Warehouse presence as a reason to conceal: DELEGATED). Setup types: M08:institutional. Open: Launch scope and authority. Was: Notion B4.A2.E7, Director Han Wei."
M14,,Hardcore Fantasy Nerd,Saeko's anti-Resonance politics gain wider reach,T2,B04,A2,,UNSCORED,4,4,M06,MED,Y,POL,,,,proposed,[HOLD | REVIEW] OVL; REV. Setup types: M06:thematic. Open: Whether 'national' is measurable; when. Was: Notion B4.A2.E6 'Emotion is entropy'.
M15,MT,Casual Web-Novel Binger,Kade gains visible influence among younger Filaments and public audiences through a human voice,T2,B04,A2,,UNSCORED,4,4,M02,MED,Y,FUN,,,,proposed,"[HOLD | REVIEW] OVL; REV. Setup types: M02:character. Open: CONFLICT: the 09-26 rulings start Kade's MT voice after Tahl's death, as a grief diary he believes private (KadeEBCI); a B04 public voice must be reconciled with that. Was: Notion B4.A2.E10. Sets up M23."
M37,,,"Tahl learns Baz's name from a news report, and learns why Baz mattered from the protagonists",T2,,,"B04-B06, before M20",tahl,,,"M10,M12",MED,Y,,,,,ruled,[NEW | RULED] B6B8 1.4 (RULED); WH (name comes late). Setup types: M10:informational; M12:character. Open: Date and outlet of the report; which protagonists.
M16,,,A B04 civic conflict may culminate in the Riot of Light; crowd violence is kept separate from verified Resonance effects,T2,B04,A3,,UNSCORED,4,5,"M13,M14",HIGH,Y,,,,,proposed,"[HOLD | LEAN] OVL; GATE #3 (soft lean toward yes as events). Setup types: M13:institutional; M14:institutional. Open: Survival, name and act. Was: Notion B4.A3.E15. Act named for it in the 27-Act Macro Structure."
M17,,LitRPG Fan,Manufactured-meta deployment becomes consequential; 'first public' B05 use and any operative boost are unverified,T2,B05,A2,,UNSCORED,4,5,M13,MED,Y,,,,,proposed,[HOLD | LEAN] OVL; GATE #3 (lean). Setup types: M13:institutional. Open: B05 public first against B06 failures; manufactured-meta transfer loop (standing constraint). Was: Notion B5.A2.E7 'Blinking Girl'. TECH supplement type provisional; left blank.
M18,,Casual Web-Novel Binger,"Filaments divide over care, intervention and risk as pressure rises",T2,B05,A2,,filaments,4,5,"M02,M15",MED,Y,,,,,proposed,[KEEP | REVIEW] OVL; REV; Brightbreak card (some Neon Rebellion splinters join Brightbreak). Setup types: M02:character; M15:character (needs faction evidence). Open: B04 first crack against B05 consolidation. Was: Notion B4.A1.E5 first crack; B5.A2.E9 raid completes it.
M19,,Hardcore Fantasy Nerd,"The New Orleans Colorstorm, if kept, is a local event; remote reports and global coupling are separate claims",T2,B05,A3,,UNSCORED,5,5,M06,HIGH,Y,,,,,proposed,[HOLD | LEAN] OVL; GATE #3 (lean); B6B8 1 (ladder: B05 close = sustained Ghostwave-class instability). Setup types: M06:thematic. Open: Survival; 'first global' stays retired. Was: Notion B5.A3.E15. First global-scale event.
M38,,,"Santa Fe escalates: warnings that originate in VT go unheeded; Fracture at the close of B06 Act I, Rupture in Act II",T2,B06,,,world,,,M19,HIGH,Y,,,,,proposed,"[NEW | RECALLED] B6B8 1 (ladder mapping accepted as intent; warnings from VT, RECALLED; the Southwest pull, RECALLED); B06 card. Setup types: M19:thematic. Open: Who relays the VT warnings (VT never broadcasts); CONFLICT to settle: Rupture in A2 against Tahl's death at the end of B06."
M20,,,"Tahl dies at the end of B06 at the Santa Fe rupture, in a late fatal VeilThread contact, not a knowingly chosen sacrifice; he glimpses the wound pattern",T2,B06,A3,,tahl,5,5,"M12,M38",HIGH,Y,,,,,ruled,"[REVISE | RULED] ELIAS 4 (end of B06, RULED; glimpses the pattern, RULED); Tier-1 TahlEBCI (fatal late VT contact). Setup types: M12:character; M38:material. Open: The staging (a task on the list); the injury; supersedes the A2 lean and the old New Orleans transit scene. Was: Notion B6.A3.E15, shielding a child on a collapsing transit platform."
M21,VT,Hardcore Fantasy Nerd,"Silence and Hope's first act of agency: Silence collects Tahl's soul, the first crack in the cycle of hard-cap veils",T2,B06,A3,,silence_hope,5,5,"M09,M20",HIGH,Y,,,,,proposed,"[REVISE | RECALLED] Author 11-23 (NB 89177, 'Saving Tahl's echo is their first act of agency'); B6B8 1 (Silence collects him, RECALLED); MIRA 5 (constructs without a clear beginning). Setup types: M09:character; M20:chronological. Open: How; whether M21 and M22 merge; 'constructs built without agency' retired (no builder). Was: Notion B6.A3.E13. Everything in Book 9 depends on this."
M22,VT,,"Tahl's echo persists after his death, held by Silence; it is not identifiable to the cast",T2,B06,A3,,tahl,5,5,"M20,M21",HIGH,Y,,,,,proposed,"[REVISE | PARTLY RULED] B6B8 1.2 and 4 (one identifiable appearance, the B09 flare, RULED). Setup types: M20:chronological; M21:physical. Open: What persists and what it can do; merge candidate with M21. Was: Notion B6.A3.E15. Enables M27, M33, M36."
M39,,,"Tahl's last message reaches the group after his death, by mortal means, and gives them the wound pattern",T2,B06,EP,,tahl,,,M20,HIGH,Y,,,,,ruled,"[NEW | RULED] ELIAS 4 (RULED); CHAIN 1 (the message gives the shape). Setup types: M20:informational. Open: Delivery (mortal, not VT); recipients; content; order against M23."
M23,MT,Casual Web-Novel Binger,"MT passes to Kade: after Tahl's death Kade keeps a grief diary in MT's comments, believing it private",T2,B06,EP,,UNSCORED,5,5,"M15,M20",MED,Y,,,,,proposed,"[REVISE | PARTLY RULED] OVL; KadeEBCI and WOUNDS 2.4 (grief diary believed private, RULED). Setup types: M15:character; M20:chronological. Open: Exact first post; the B06 EP / B07 split; order against M39. Was: Notion B6 aftermath unit E20, 'I'm here. I won't hide.'"
M40,,,Book 7 opens at Tahl's funeral with Lacuna prominent; she inspires Kade to post,T3,B07,A1,,kade,,,"M20,M23",MED,Y,,,,,ruled,"[NEW | RULED] SPINE follow-up (funeral, Lacuna prominent, RULED); ELIAS 5 (Lacuna inspires, RULED); LacunaEBCI. Setup types: M20:chronological; M23:character. Open: Whether the second line is on the page."
M41,,,"Elias, in New Orleans for MT, identifies Kade at the funeral and attaches to him",T3,B07,A1,,kade,,,M40,MED,Y,,,,,ruled,[NEW | RULED] ELIAS (card corrections E1-E4: late-Neon relocation for MT; identifies Kade at the funeral). Setup types: M40:chronological. Open: Their first contact on the page.
M24,,Hardcore Fantasy Nerd,"Condition, not event: services, transport and institutions degrade unevenly across regions; some persist",T3,B07,A1,,UNSCORED,5,5,M38,MED,Y,POL,,,,proposed,[REVISE | REVIEW] OVL; LOOM1 6. Setup types: M38:material. Open: A named local failure could give it a face. Was: Notion B7.A1.E5 'SYSTEMIC INFRASTRUCTURE FAILURE'.
M25,,Casual Web-Novel Binger,"Condition, not event: diaspora and Filament-supported travel expand as routes and supplies come under pressure",T3,B07,A2,,UNSCORED,5,5,M24,MED,Y,SLICE,,,,proposed,[REVISE | REVIEW] OVL; LOOM1 6. Setup types: M24:material. Open: Scale ('millions' unproven). Was: Notion B7.A2.E6. Filament diaspora activates.
M26,MT,,"Kade learns he is being read and takes over MT, the last broadly working public channel, maintained through uneven infrastructure",T3,B07,A2,,mt,5,5,"M23,M24",MED,Y,,,,,proposed,"[REVISE | PARTLY RULED] KadeEBCI ('takes over', RULED); LacunaEBCI and EliasEBCI (MT the only / last broadly working channel, card corrections). Setup types: M23:character; M24:material. Open: The review's 'last intact' objection against the card wording. Was: Notion B7.A1.E3 and B5.A3.E11 foreshadow. Post-Mending bible 5.4 confirms MT as backbone."
M27,VT,,A VeilThread-side beat: an echo that may or may not be Tahl's reaches toward Silence; not identifiable to the cast,T3,B07,A3,,tahl,5,5,M22,HIGH,Y,,,,,proposed,"[HOLD | REVIEW] B6B8 1.2 (not identifiable); LOOM1 6; author 11-13 VT thread. Setup types: M22:chronological. Open: Whether the row survives. Was: Notion B7.A3.E14, 'Go where it began.'"
M49,,,"Seraphine is drawn into becoming the Loom and begins to question the hard cap; Mira, perceived only by her, guides her past recreating it",T3,B07,,"B07 onward, schedule open",seraphine,,,M03,MED,Y,,,,,ruled,[NEW | RULED] WOUNDS 1.2 (RULED); CHAIN 2 (doubt grows from becoming the Loom); MIRA 1 and 5 (RULED). Setup types: M03:thematic. Open: Mira's appearance schedule is unresolved (author).
M42,,,"Kade's post moves people and New Orleans breaks, forcing an accountable departure; Elias begins to subvert Kade",T3,B07,A3,,kade,,,"M26,M41",HIGH,Y,,,,,ruled,"[NEW | RULED] SPINE 2 (C1+C2, RULED); ELIAS 5 (Elias subverts from Act III); B07 card. Setup types: M26:character; M41:character. Open: Post content; what breaks (not a third collapse); civic or scar; post/break order; the act (A3 is a reading)."
M28,,,The crew leaves New Orleans to stabilise the wounds; not toward the swamp,T3,B07,A3,,UNSCORED,5,5,"M39,M42",HIGH,Y,,,,,ruled,"[REVISE | RULED] SPINE (departure, not exodus toward the swamp); WOUNDS 1.1 (stabilisation, RULED); CHAIN 1. Setup types: M39:informational; M42:material. Open: Route out; who leaves. Was: Notion B7.A3.E15. Warehouse scar destabilises; the city cannot hold them."
M43,,,"The Lacuna-Kade split is foreshadowed at the end of Book 7, possibly by an argument",T3,B07,A3,,kade,,,M42,MED,Y,,,,,ruled,[NEW | RULED] SPINE 4 (RULED; 'argument?' tentative). Setup types: M42:character. Open: The form of the foreshadowing.
M44,,,Lacuna and Kade split at the start of Book 8,T3,B08,A1,,kade,,,M43,MED,Y,,,,,ruled,[NEW | RULED] SPINE 4 (RULED). Setup types: M43:character. Open: The cause (11-28 plan: arguing about embracing violence).
M45,,,"At Santa Fe, where Tahl died, the crew finds something real at the first wound, at a cost, and stabilises it",T3,B08,,,world,,,"M28,M39",HIGH,Y,,,,,proposed,"[NEW | PARTLY RULED] SPINE 3 and follow-up (A1 at Santa Fe, RULED); WOUNDS 1.3 (stabilises Santa Fe: LEAN); CHAIN 1; B08 card. Setup types: M28:chronological; M39:informational. Open: What is found; the cost; the act."
M46,,,Kade's first complicity in his splinter's violence,T3,B08,,,kade,,,M44,HIGH,Y,,,,,ruled,"[NEW | RULED] SPINE 3 (A2, RULED); B08 card. Setup types: M44:character. Open: The form and victims; must not pre-empt the Rex near-kill."
M47,,,"Mound City (St. Louis), the second wound: the chain's particulars are confirmed",T3,B08,,,world,,,M45,MED,Y,,,,,ruled,"[NEW | RULED] CHAIN 1 (Mound City in B08 after Santa Fe, RULED; discovery beats become confirmation beats); Alignment Chain (author-saved). Setup types: M45:chronological. Open: The act; what is confirmed and by whom."
M29,,Hardcore Fantasy Nerd,Retired: no pre-Mending formal Echo Node; its site function passes to M45 and M47,T3,B08,A3,,UNSCORED,5,5,,HIGH,Y,LORE,,,,retired,"[RETIRE | REVIEW] Packet C; SPINE (M29 retires); Mechanica 7.4. Was: Notion B8.A3.E11, Elisabet discovers it and Seraphine stabilises it."
M30,,LitRPG Fan,Specific Technarc capabilities or manufactured-meta assets may fail or fragment; total collapse needs evidence,T3,B08,A3,,technarc,5,4,M17,MED,Y,,,,,proposed,"[HOLD | REVIEW] OVL; LOOM1 6 (remnant accountability, POOL-016). Setup types: M17:institutional. Open: Scale. Was: Notion B8.A3.E13 and end state. Leaves Dominion alone for Book 9."
M48,,,"Serpent Mound, the third wound: visited at the end of Book 8; the escape from it opens Book 9",T3,B08,A3,B08 end to B09 A1,world,,,M47,HIGH,Y,,,,,ruled,"[NEW | RULED] CHAIN 1 (continuous across the break, RULED); SPINE follow-up (B09 escape at Serpent Mound, RULED). Setup types: M47:chronological. Open: Who is escaped from, and how; sequence against M31 (deferred)."
M31,,,"Book 8 closes on a fleeting storm-wall opening that Elias claims for Kade; the factions conclude it leads back to Louisiana, and the swamp stays secret",T3,B08,A3,,UNSCORED,5,5,"M46,M48",HIGH,Y,,,,,proposed,"[REPLACE | PARTLY RULED] B6B8 4 (opening permitted in B08, may be fleeting, RULED); B6B8 2 (Elias claims it: intent); SPINE third follow-up (factions think Louisiana, RULED; via the opening: HYPOTHESIS); GATE #4 (actual opening: LEAN). Setup types: M46:character; M48:chronological. Open: Sequence with M48 DEFERRED until milestones are extrapolated; whether Kade caused it; where Elias is. Was: Notion B8.A3.E15, cataclysmic fade-to-white."
M50,,,The NOLA feint: the factions look for the crew in New Orleans while they are elsewhere,T3,B09,A2,,UNSCORED,,,"M31,M48",HIGH,Y,,,,,ruled,[NEW | RULED] SPINE (11-28 plan; the feint's engine is the factions' Louisiana belief). Setup types: M31:informational; M48:chronological. Open: Its acts (A1-A2 per the plan); who stages it.
M51,,,"The antagonist factions learn the swamp is the Mending site, in Book 9 Act III and not before",T3,B09,A3,,UNSCORED,,,M50,HIGH,Y,,,,,proposed,"[NEW | INTENT] B6B8 4 (site secret, author intent with a firm reason; governing constraint). Setup types: M50:chronological. Open: Which factions; how they learn."
M32,VT,,Silence and Hope face the limits of the old Veil and make a consequential choice before the Mending; the quoted confessions are historical options,T3,B09,A3,,silence_hope,5,5,"M21,M51",HIGH,Y,,,,,proposed,[HOLD | REVIEW] OVL; CHAIN 4 (12-07 order wins). Setup types: M21:character; M51:chronological. Open: Whether a confession scene survives beside the 12-07 order. Was: Notion B9.A3.E12. Their agency becomes speech.
M52,,,"Elias attacks Rex; Rex knocks him down; Kade, fearing Rex will kill Elias, attacks Rex; Tahl's echo flares and stops him, the echo's one identifiable appearance, known by Rex",T3,B09,A3,penultimate chapter,kade,,,"M22,M41,M46,M51",HIGH,Y,,,,,ruled,"[NEW | RULED] WOUNDS 2.5 (motive, RULED); CHAIN 4 (choreography, 12-07 wins); B6B8 4 (flare known by Rex, RULED); TahlEBCI (penultimate chapter). Setup types: M22:physical; M41:character; M46:character; M51:chronological. Open: Staging; whether anyone besides Rex recognises it."
M33,,Hardcore Fantasy Nerd,"The Mending, the last chapter: Seraphine becomes the Loom; Hope, then Silence (after powering Tahl's echo), give themselves to it; Lucien and Caro become the guides, one at a time, with Elisabet's goodbye to Caro between; Mira's echo is released",T3,B09,A3,,silence_hope,5,3,"M05,M32,M49,M52",HIGH,Y,,,,,ruled,"[REVISE | RULED] CHAIN 2 and 4 (cost; 12-07 order; guides and conduit, RULED); MIRA 5 (Mira released; the Loom is powered by a soul, RULED). Setup types: M05:character; M32:character; M49:character; M52:physical (Silence's boost). Open: The breathing veil's mechanism (D5); what the answer is (reserved for the end). Was: Notion B9.A3.E14, 'the cosmological core of the saga'. Era boundary begins here."
M34,,,Post-Mending storm and service conditions become less hostile over measured regions and intervals,T3,B09,A3,,UNSCORED,3,1,M33,HIGH,Y,,,,,proposed,[REVISE | REVIEW] OVL; REV. Setup types: M33:chronological. Open: Reach and lag; residual hazard. Was: Notion B9.A3.E15. Post-Mending envelope applies from here.
M35,MT,Casual Web-Novel Binger,"MT continues under a new MT-initialled name with a new role; Elisabet, Rex and Kade stitch society back together, Kade with the rebellion's people",T3,B09,EP,,UNSCORED,1,1,"M23,M26,M34",MED,Y,,,,,ruled,"[REVISE | RULED] GATE 5 addendum (MT continues, RULED); B6B8 3.2 (the reconstruction, RULED). Setup types: M23:character; M26:character; M34:chronological. Open: The name (MendedThread, MortalThreads are examples); Accord or Concord; the timeskip (lean: a few days). Was: Notion B9 E20 and Post-Mending bible 7.3. A rename, not a channel conversion."
M53,LT,,"The epilogue's last beat: Lacuna and Kade under the night sky; Seraphine reaches out through LT, and the handshake reaches Kade's device through Tahl's echo; his triangle is implied",T3,B09,EP,,seraphine,,,"M33,M35,M40",HIGH,Y,,,,,ruled,"[NEW | RULED] LTA (scene and Mobius with the B01 prologue, RULED); GATE 5 (LT is the final thing); B6B8 3 (Tahl the conduit, RULED; LT_RULES 6 exception); B6B8 4 (triangle implied, RULED). Setup types: M33:chronological; M35:chronological; M40:character. Open: What the prompt presents; whether Lacuna perceives it."
M36,VT,,"An identifiable Tahl farewell would be a second appearance; fold into M53's implied triangle, merge into M52's flare, or retire",T3,B09,EP,,tahl,1,1,"M22,M33",HIGH,Y,,,,,proposed,[HOLD | REVIEW] B6B8 1.2 and 4.3. Setup types: M22:chronological; M33:chronological. Open: Author choice among the three. Was: Notion B9 E21. Releases the saga's moral foundation.
